id,name,league.name,league.id,sport.id,abbreviation,sortOrder
100,Georgia Tech Yellow Jackets,College Baseball,107.0,22,College,5101
101,Florida State Seminoles,College Baseball,107.0,22,College,5101
102,Round Rock Express,Pacific Coast League,112.0,11,AAA,101
103,Lake Elsinore Storm,California League,110.0,14,A,401
105,Sacramento River Cats,Pacific Coast League,112.0,11,AAA,101
106,Erie SeaWolves,Eastern League,113.0,12,AA,201
108,Los Angeles Angels,American League,103.0,1,MLB,11
109,Arizona Diamondbacks,National League,104.0,1,MLB,11
110,Baltimore Orioles,American League,103.0,1,MLB,11
111,Boston Red Sox,American League,103.0,1,MLB,11
112,Chicago Cubs,National League,104.0,1,MLB,11
113,Cincinnati Reds,National League,104.0,1,MLB,11
114,Cleveland Guardians,American League,103.0,1,MLB,11
115,Colorado Rockies,National League,104.0,1,MLB,11
116,Detroit Tigers,American League,103.0,1,MLB,11
117,Houston Astros,American League,103.0,1,MLB,11
118,Kansas City Royals,American League,103.0,1,MLB,11
119,Los Angeles Dodgers,National League,104.0,1,MLB,11
120,Washington Nationals,National League,104.0,1,MLB,11
121,New York Mets,National League,104.0,1,MLB,11
133,Oakland Athletics,American League,103.0,1,MLB,11
134,Pittsburgh Pirates,National League,104.0,1,MLB,11
135,San Diego Padres,National League,104.0,1,MLB,11
136,Seattle Mariners,American League,103.0,1,MLB,11
137,San Francisco Giants,National League,104.0,1,MLB,11
138,St. Louis Cardinals,National League,104.0,1,MLB,11
139,Tampa Bay Rays,American League,103.0,1,MLB,11
140,Texas Rangers,American League,103.0,1,MLB,11
141,Toronto Blue Jays,American League,103.0,1,MLB,11
142,Minnesota Twins,American League,103.0,1,MLB,11
143,Philadelphia Phillies,National League,104.0,1,MLB,11
144,Atlanta Braves,National League,104.0,1,MLB,11
145,Chicago White Sox,American League,103.0,1,MLB,11
146,Miami Marlins,National League,104.0,1,MLB,11
147,New York Yankees,American League,103.0,1,MLB,11
158,Milwaukee Brewers,National League,104.0,1,MLB,11
226,Georgia Bulldogs,College Baseball,107.0,22,College,5101
227,Boston College Eagles,College Baseball,107.0,22,College,5101
232,Arizona Wildcats,College Baseball,107.0,22,College,5101
233,Charleston RiverDogs,Carolina League,122.0,14,A,401
234,Durham Bulls,International League,117.0,11,AAA,101
235,Memphis Redbirds,International League,117.0,11,AAA,101
236,Miami Hurricanes,College Baseball,107.0,22,College,5101
237,Midland RockHounds,Texas League,109.0,12,AA,201
238,Oklahoma City Dodgers,Pacific Coast League,112.0,11,AAA,101
241,Yomiuri Giants,Japan All-Star Series,420.0,51,INT,3501
245,Texas Longhorns,College Baseball,107.0,22,College,5101
247,Birmingham Barons,Southern League,111.0,12,AA,201
249,Carolina Mudcats,Carolina League,122.0,14,A,401
259,Fresno Grizzlies,California League,110.0,14,A,401
260,Tulsa Drillers,Texas League,109.0,12,AA,201
279,Palm Beach Cardinals,Florida State League,123.0,14,A,401
342,Albuquerque Isotopes,Pacific Coast League,112.0,11,AAA,101
343,Northeastern Huskies,College Baseball,107.0,22,College,5101
400,Las Vegas Aviators,Pacific Coast League,112.0,11,AAA,101
401,Inland Empire 66ers,California League,110.0,14,A,401
402,Akron RubberDucks,Eastern League,113.0,12,AA,201
403,Everett AquaSox,Northwest League,126.0,13,A+,301
404,ACL Angels,Arizona Complex League,121.0,16,ROK,701
406,ACL Brewers Gold,Arizona Complex League,121.0,16,ROK,701
407,ACL Cubs,Arizona Complex League,121.0,16,ROK,701
408,ACL Giants Black,Arizona Complex League,121.0,16,ROK,701
409,ACL Mariners,Arizona Complex League,121.0,16,ROK,701
410,ACL Padres,Arizona Complex League,121.0,16,ROK,701
411,ACL Rangers,Arizona Complex League,121.0,16,ROK,701
412,ACL Royals Blue,Arizona Complex League,121.0,16,ROK,701
413,Greeneville Flyboys,Appalachian League,120.0,22,College,5101
414,Salem Red Sox,Carolina League,122.0,14,A,401
415,San Diego State Aztecs,College Baseball,107.0,22,College,5101
416,Louisville Bats,International League,117.0,11,AAA,101
418,Bowie Baysox,Eastern League,113.0,12,AA,201
419,Hillsboro Hops,Northwest League,126.0,13,A+,301
421,Montgomery Biscuits,Southern League,111.0,12,AA,201
422,Buffalo Bisons,International League,117.0,11,AAA,101
424,Dunedin Blue Jays,Florida State League,123.0,14,A,401
425,Pulaski River Turtles,Appalachian League,120.0,22,College,5101
426,Wilmington Blue Rocks,South Atlantic League,116.0,13,A+,301
427,Jersey Shore BlueClaws,South Atlantic League,116.0,13,A+,301
428,Greenville Drive,South Atlantic League,116.0,13,A+,301
429,Danville Otterbots,Appalachian League,120.0,22,College,5101
430,Mississippi Braves,Southern League,111.0,12,AA,201
431,Gwinnett Stripers,International League,117.0,11,AAA,101
432,Rome Braves,South Atlantic League,116.0,13,A+,301
434,Bravos de Leon,Mexican League,125.0,23,IND,2101
435,Vancouver Canadians,Northwest League,126.0,13,A+,301
436,Fredericksburg Nationals,Carolina League,122.0,14,A,401
437,Lake County Captains,Midwest League,118.0,13,A+,301
438,Johnson City Doughboys,Appalachian League,120.0,22,College,5101
440,Springfield Cardinals,Texas League,109.0,12,AA,201
442,Olmecas de Tabasco,Mexican League,125.0,23,IND,2101
443,Peoria Chiefs,Midwest League,118.0,13,A+,301
444,Idaho Falls Chukars,Pioneer League,128.0,23,IND,2101
445,Columbus Clippers,International League,117.0,11,AAA,101
447,Algodoneros Union Laguna,Mexican League,125.0,23,IND,2101
448,Hickory Crawdads,South Atlantic League,116.0,13,A+,301
449,Williamsport Crosscutters,MLB Draft League,5536.0,22,College,5101
450,Daytona Tortugas,Florida State League,123.0,14,A,401
451,Iowa Cubs,International League,117.0,11,AAA,101
452,Altoona Curve,Eastern League,113.0,12,AA,201
453,Brooklyn Cyclones,South Atlantic League,116.0,13,A+,301
454,Glendale Desert Dogs,Arizona Fall League,119.0,17,WIN,1301
455,Princeton Whistlepigs,Appalachian League,120.0,22,College,5101
456,Great Lakes Loons,Midwest League,118.0,13,A+,301
459,Dayton Dragons,Midwest League,118.0,13,A+,301
460,Tri-City Dust Devils,Northwest League,126.0,13,A+,301
461,Eugene Emeralds,Northwest League,126.0,13,A+,301
463,New Hampshire Fisher Cats,Eastern League,113.0,12,AA,201
464,FCL Braves,Florida Complex League,124.0,16,ROK,701
